age_range,lower,upper
1,319,323.5
2,298.8,303
3,302.8,307
4,299.4,303
5,296,299
6,298.2,303
7,284.8,289
8,284.6,288.5
9,275,278
10,277.2,280.5
11,281.2,284.5
12,284.6,288.5
13,274.8,277.5
14,285.4,289
15,273.8,276.5
16,274,277
17,279,282
18,279.2,282.5
19,270.8,273.5
20,279.2,282.5
21,273.6,276
22,273.2,276.5
23,271.6,274
24,275.2,278.5
25,271.8,274.5
26,277,280
27,279.2,282.5
28,281.2,284.5
29,277,280
30,279.2,282.5
31,271.8,274.5
32,277.2,280.5
33,274,277
34,274,277
35,265.2,267
36-62,270.6,274.5
63-68,279.2,282.5
69-72,277.8,280.5
73-78,279,282
79-85,280,283
86-95,284.4,288
96-123,291.4,295
124-137,292.8,297
138-151,291,294
152-168,295.4,299
169-185,299,302
186-204,298.6,302.5
205-212,296.4,300
213-215,307.2,312
216-217,299.8,304
218-219,303.8,308
220-224,305.6,309.5
225-226,303.8,308
227-231,302.6,306.5
232-234,294,297
235-238,299,303.5
239-240,309.4,314.5
241-246,297,300
247-252,302.6,306.5
253-257,299.2,302.5
258-262,301.6,305.5
263-269,301.8,306
270-274,299.4,303
275-278,306.8,311
279-281,302.6,306.5
282-284,304.4,308
285-287,312.4,317.5
288-290,305.6,309.5
291-293,307.6,311.5
293-297,300.4,304
298-300,302.4,306
301-303,298,301
304-311,304,307
312-317,305.4,309
318-324,304.6,308.5
325-332,304.4,308
333-337,305.4,309
338-342,313.4,318.5
343-348,305.6,309.5
349-354,305.4,309
355-360,308.4,312
361-396,310.6,314.5
397-552,306.4,310
553-745,315.4,319
746-808,310,313
809-919,305.2,307
920-1046,317.2,320.5
1047-1132,326.6,330.5
1133-1237,332.2,335.5
1238-1348,336.4,340
1349-1476,340.8,345
1477-1580,337.2,340.5
1581-1751,345.8,350
1752-1883,341.2,344.5
1884-2019,345.8,350
2020-2163,351.6,355.5
2164-3692,373.2,378
3693-3737,369.4,373
3738-3774,376,380.5
3775-3816,375,379.5
3817-3857,374.2,379
3858-3927,374,378.5
3928-3966,376.8,381
3967-5480,373.8,378
5481-5500,386.2,391
5501-5526,381.4,386.5
5527-5553,381.6,385.5
5554-5572,387.4,392.5
5573-5597,385.2,390
5598-5621,377.6,381.5
5622-5644,386.4,391.5
5645-5663,382.2,387
5664-5679,386,390.5
5680-5701,382.8,387
5702-5724,384.6,390
5725-5744,382.4,387.5
5745-5764,385,389.5
5765-5792,385.8,390
5793-5810,383.6,387.5
5811-5834,386,390.5
5835-7353,388.2,393
7354-7430,392.6,398
7431-7485,391.6,397
7486-7546,394.4,399.5
7547-7629,400.6,406
7630-8300,395.6,399.5
